CIR,maxNoise,RX_level,FPPL,RX_difference,Class
278.0,363.0,-86.910514,-99.453636,12.543121999999997,0
278.0,363.0,-86.910514,-99.453636,12.543121999999997,0
278.0,363.0,-86.910514,-99.453636,12.543121999999997,0
278.0,363.0,-86.910514,-99.453636,12.543121999999997,0
278.0,363.0,-86.910514,-99.453636,12.543121999999997,0
278.0,363.0,-86.910514,-99.453636,12.543121999999997,0
245.0,366.0,-87.562088,-103.739822,16.177734,0
245.0,366.0,-87.562088,-103.739822,16.177734,0
245.0,366.0,-87.562088,-103.739822,16.177734,0
245.0,366.0,-87.562088,-103.739822,16.177734,0
245.0,366.0,-87.562088,-103.739822,16.177734,0
245.0,366.0,-87.562088,-103.739822,16.177734,0
245.0,366.0,-87.562088,-103.739822,16.177734,0
245.0,366.0,-87.562088,-103.739822,16.177734,0
245.0,366.0,-87.562088,-103.739822,16.177734,0
245.0,366.0,-87.562088,-103.739822,16.177734,0
320.0,417.0,-88.110877,-104.932907,16.822029999999998,0
320.0,417.0,-88.110877,-104.932907,16.822029999999998,0
320.0,417.0,-88.110877,-104.932907,16.822029999999998,0
320.0,417.0,-88.110877,-104.932907,16.822029999999998,0
320.0,417.0,-88.110877,-104.932907,16.822029999999998,0
320.0,417.0,-88.110877,-104.932907,16.822029999999998,0
320.0,417.0,-88.110877,-104.932907,16.822029999999998,0
320.0,417.0,-88.110877,-104.932907,16.822029999999998,0
320.0,417.0,-88.110877,-104.932907,16.822029999999998,0
258.0,365.0,-86.951042,-100.098327,13.147284999999997,0
258.0,365.0,-86.951042,-100.098327,13.147284999999997,0
258.0,365.0,-86.951042,-100.098327,13.147284999999997,0
258.0,365.0,-86.951042,-100.098327,13.147284999999997,0
258.0,365.0,-86.951042,-100.098327,13.147284999999997,0
258.0,365.0,-86.951042,-100.098327,13.147284999999997,0
258.0,365.0,-86.951042,-100.098327,13.147284999999997,0
258.0,365.0,-86.951042,-100.098327,13.147284999999997,0
258.0,365.0,-86.951042,-100.098327,13.147284999999997,0
258.0,365.0,-86.951042,-100.098327,13.147284999999997,0
325.0,417.0,-87.886344,-103.249961,15.363617000000005,0
325.0,417.0,-87.886344,-103.249961,15.363617000000005,0
325.0,417.0,-87.886344,-103.249961,15.363617000000005,0
325.0,417.0,-87.886344,-103.249961,15.363617000000005,0
325.0,417.0,-87.886344,-103.249961,15.363617000000005,0
325.0,417.0,-87.886344,-103.249961,15.363617000000005,0
325.0,417.0,-87.886344,-103.249961,15.363617000000005,0
325.0,417.0,-87.886344,-103.249961,15.363617000000005,0
325.0,417.0,-87.886344,-103.249961,15.363617000000005,0
307.0,421.0,-86.883705,-102.216308,15.332602999999992,0
307.0,421.0,-86.883705,-102.216308,15.332602999999992,0
307.0,421.0,-86.883705,-102.216308,15.332602999999992,0
307.0,421.0,-86.883705,-102.216308,15.332602999999992,0
307.0,421.0,-86.883705,-102.216308,15.332602999999992,0
307.0,421.0,-86.883705,-102.216308,15.332602999999992,0
307.0,421.0,-86.883705,-102.216308,15.332602999999992,0
