acquisition,RX_level,RX_difference
209,-78.498123,3.353241
209,-78.498123,3.353241
210,-78.633941,2.572693
210,-78.633941,2.572693
211,-78.633941,2.572693
211,-78.633941,2.572693
212,-78.664039,2.878845
212,-78.664039,2.878845
213,-78.664039,2.878845
213,-78.664039,2.878845
214,-78.580284,2.953964
214,-78.580284,2.953964
215,-78.580284,2.953964
215,-78.580284,2.953964
216,-78.739181,2.935242
216,-78.739181,2.935242
217,-78.739181,2.935242
217,-78.739181,2.935242
218,-78.574363,2.630882
218,-78.574363,2.630882
219,-78.574363,2.630882
219,-78.574363,2.630882
220,-78.562545,2.582291
220,-78.562545,2.582291
221,-78.562545,2.582291
221,-78.562545,2.582291
222,-78.772079,2.577515
222,-78.772079,2.577515
223,-78.772079,2.577515
223,-78.772079,2.577515
224,-78.780342,2.802223
224,-78.780342,2.802223
225,-78.780342,2.802223
225,-78.780342,2.802223
226,-78.735084,3.157455
226,-78.735084,3.157455
227,-78.735084,3.157455
227,-78.735084,3.157455
228,-78.658004,2.748734
228,-78.658004,2.748734
229,-78.658004,2.748734
229,-78.658004,2.748734
230,-78.690292,2.726868
230,-78.690292,2.726868
231,-78.690292,2.726868
231,-78.690292,2.726868
232,-78.60604,2.604729
232,-78.60604,2.604729
233,-78.60604,2.604729
233,-78.60604,2.604729
234,-78.838638,2.629478
234,-78.838638,2.629478
235,-78.838638,2.629478
235,-78.838638,2.629478
236,-78.749435,2.588615
236,-78.749435,2.588615
237,-78.749435,2.588615
237,-78.749435,2.588615
238,-78.722824,2.644821
238,-78.722824,2.644821
239,-78.722824,2.644821
239,-78.722824,2.644821
240,-78.767951,2.483276
240,-78.767951,2.483276
241,-78.767951,2.483276
241,-78.767951,2.483276
242,-78.700431,2.579926
242,-78.700431,2.579926
243,-78.700431,2.579926
243,-78.700431,2.579926
244,-78.702461,2.606674
244,-78.702461,2.606674
245,-78.702461,2.606674
245,-78.702461,2.606674
246,-78.722824,2.545692
246,-78.722824,2.545692
247,-78.722824,2.545692
247,-78.722824,2.545692
248,-78.757659,2.550934
248,-78.757659,2.550934
249,-78.757659,2.550934
249,-78.757659,2.550934
250,-78.643951,2.517433
250,-78.643951,2.517433
251,-78.643951,2.517433
251,-78.643951,2.517433
252,-78.819816,3.016174
252,-78.819816,3.016174
253,-78.819816,3.016174
253,-78.819816,3.016174
254,-78.838638,2.677422
254,-78.838638,2.677422
255,-78.838638,2.677422
255,-78.838638,2.677422
256,-78.653984,3.290993
256,-78.653984,3.290993
257,-78.653984,3.290993
257,-78.653984,3.290993
258,-78.602066,2.548973
258,-78.602066,2.548973
259,-78.602066,2.548973
259,-78.602066,2.548973
260,-78.611999,2.520393
260,-78.611999,2.520393
261,-78.611999,2.520393
261,-78.611999,2.520393
262,-78.720779,2.486702
262,-78.720779,2.486702
263,-78.720779,2.486702
263,-78.720779,2.486702
264,-78.798996,3.380104
264,-78.798996,3.380104
265,-78.798996,3.380104
265,-78.798996,3.380104
266,-78.882881,2.627129
266,-78.882881,2.627129
267,-78.882881,2.627129
267,-78.882881,2.627129
268,-78.588195,2.835487
268,-78.588195,2.835487
269,-78.588195,2.835487
269,-78.588195,2.835487
270,-78.70449,2.415138
270,-78.70449,2.415138
271,-78.70449,2.415138
271,-78.70449,2.415138
272,-78.645957,2.655899
272,-78.645957,2.655899
273,-78.645957,2.655899
273,-78.645957,2.655899
274,-78.735084,2.655746
274,-78.735084,2.655746
275,-78.735084,2.655746
275,-78.735084,2.655746
276,-78.830268,3.246246
276,-78.830268,3.246246
277,-78.830268,3.246246
277,-78.830268,3.246246
278,-78.615982,2.581131
278,-78.615982,2.581131
279,-78.615982,2.581131
279,-78.615982,2.581131
280,-78.842834,3.310417
280,-78.842834,3.310417
281,-78.842834,3.310417
281,-78.842834,3.310417
282,-78.668067,3.242485
282,-78.668067,3.242485
283,-78.668067,3.242485
283,-78.668067,3.242485
284,-78.938285,3.435623
284,-78.938285,3.435623
285,-78.938285,3.435623
285,-78.938285,3.435623
286,-78.75354,3.151817
286,-78.75354,3.151817
287,-78.75354,3.151817
287,-78.75354,3.151817
288,-78.580284,2.603836
288,-78.580284,2.603836
289,-78.580284,2.603836
289,-78.580284,2.603836
290,-78.674118,2.57653
290,-78.674118,2.57653
291,-78.674118,2.57653
291,-78.674118,2.57653
292,-78.74533,2.778351
292,-78.74533,2.778351
293,-78.74533,2.778351
293,-78.74533,2.778351
294,-78.807312,2.802689
294,-78.807312,2.802689
295,-78.807312,2.802689
295,-78.807312,2.802689
296,-78.682197,2.614838
296,-78.682197,2.614838
297,-78.682197,2.614838
297,-78.682197,2.614838
298,-78.498123,3.240143
298,-78.498123,3.240143
299,-78.498123,3.240143
299,-78.498123,3.240143
300,-78.81356,2.712288
300,-78.81356,2.712288
301,-78.81356,2.712288
301,-78.81356,2.712288
302,-78.906234,3.416374
302,-78.906234,3.416374
303,-78.906234,3.416374
303,-78.906234,3.416374
304,-78.676132,2.712845
304,-78.676132,2.712845
305,-78.676132,2.712845
305,-78.676132,2.712845
306,-78.899856,2.657845
306,-78.899856,2.657845
307,-78.899856,2.657845
307,-78.899856,2.657845
308,-78.564514,2.614212
308,-78.564514,2.614212
309,-78.564514,2.614212
309,-78.564514,2.614212
310,-78.834449,2.521255
310,-78.834449,2.521255
311,-78.834449,2.521255
311,-78.834449,2.521255
312,-78.749435,2.632683
312,-78.749435,2.632683
