,acquisition,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
132,4,still,0.27,0.62,9.95,0.00154,-0.00448,0.00014
133,4,still,0.27,0.62,9.95,0.00154,-0.00448,0.00014
134,4,still,0.27,0.55,9.98,0.00161,-0.00448,0.00014
135,4,still,0.27,0.55,9.98,0.00161,-0.00448,0.00014
136,4,still,0.27,0.55,9.98,0.00161,-0.00448,0.00014
137,4,still,0.27,0.55,9.98,0.00161,-0.00448,0.00014
138,4,still,0.27,0.55,9.98,0.00161,-0.00448,0.00014
139,4,still,0.16,0.59,9.98,0.00154,-0.00441,0.00014
140,4,still,0.16,0.59,9.98,0.00154,-0.00441,0.00014
141,4,still,0.16,0.59,9.98,0.00154,-0.00441,0.00014
142,4,still,0.16,0.59,9.98,0.00154,-0.00441,0.00014
143,4,still,0.23,0.59,10.06,0.00161,-0.00441,0.00014
144,4,still,0.23,0.59,10.06,0.00161,-0.00441,0.00014
145,4,still,0.23,0.59,10.06,0.00161,-0.00441,0.00014
146,4,still,0.23,0.59,10.06,0.00161,-0.00441,0.00014
147,4,still,0.23,0.59,10.06,0.00161,-0.00441,0.00014
148,4,still,0.16,0.55,9.95,0.00161,-0.00441,0.00014
149,4,still,0.16,0.55,9.95,0.00161,-0.00441,0.00014
150,4,still,0.16,0.55,9.95,0.00161,-0.00441,0.00014
151,4,still,0.16,0.55,9.95,0.00161,-0.00441,0.00014
152,4,still,0.16,0.55,9.95,0.00161,-0.00441,0.00014
153,4,still,0.23,0.51,9.98,0.00161,-0.00448,0.00014
154,4,still,0.23,0.51,9.98,0.00161,-0.00448,0.00014
155,4,still,0.23,0.51,9.98,0.00161,-0.00448,0.00014
156,4,still,0.23,0.51,9.98,0.00161,-0.00448,0.00014
157,4,still,0.23,0.51,9.98,0.00161,-0.00448,0.00014
158,4,still,0.27,0.55,9.95,0.00161,-0.00441,0.00014
159,4,still,0.27,0.55,9.95,0.00161,-0.00441,0.00014
160,5,still,-0.3,0.23,10.1,0.00161,-0.00448,0.00021
161,5,still,-0.3,0.23,10.1,0.00161,-0.00448,0.00021
162,5,still,-0.3,0.23,10.1,0.00161,-0.00448,0.00021
163,5,still,-0.3,0.23,10.1,0.00161,-0.00448,0.00021
164,5,still,-0.26,0.16,9.98,0.00161,-0.00448,7e-05
165,5,still,-0.26,0.16,9.98,0.00161,-0.00448,7e-05
166,5,still,-0.26,0.16,9.98,0.00161,-0.00448,7e-05
167,5,still,-0.26,0.16,9.98,0.00161,-0.00448,7e-05
168,5,still,-0.26,0.16,9.98,0.00161,-0.00448,7e-05
169,5,still,-0.26,0.23,9.91,0.00161,-0.00441,0.00021
