,acquisition,activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL,Distance
103,3,LOS,1844.0,47961.0,1637.0,-78.97274,-82.096824,2.570316
104,3,LOS,1902.0,48070.0,1587.0,-79.344932,-82.772239,2.589077
105,3,LOS,2083.0,47657.0,1529.0,-79.210433,-82.654556,2.607838
106,3,LOS,1821.0,47783.0,1524.0,-78.815643,-82.134239,2.551554
107,3,LOS,2056.0,47899.0,1778.0,-79.399436,-82.815872,2.551554
108,3,LOS,1947.0,48021.0,1760.0,-78.872306,-82.05204,2.532793
109,3,LOS,2033.0,47598.0,1499.0,-79.108879,-82.217948,2.570316
110,3,LOS,1914.0,47832.0,1765.0,-79.111106,-82.499923,2.532793
111,3,LOS,2012.0,47954.0,1622.0,-79.18312,-82.326072,2.607838
112,3,LOS,1868.0,48048.0,1458.0,-78.966255,-83.342582,2.6266
113,3,LOS,1820.0,47639.0,1439.0,-79.288772,-83.003387,2.570316
114,3,LOS,2189.0,47742.0,1616.0,-79.401824,-82.87014,2.551554
115,3,LOS,2077.0,47850.0,1432.0,-78.600082,-82.372596,2.607838
116,3,LOS,2011.0,47958.0,1689.0,-78.82817,-82.25193,2.570316
117,3,LOS,1954.0,48067.0,1616.0,-78.968414,-82.196731,2.570316
118,3,LOS,2011.0,47642.0,1501.0,-79.093292,-82.770088,2.607838
119,3,LOS,1939.0,47748.0,1688.0,-78.968414,-81.856658,2.551554
120,3,LOS,1822.0,47851.0,1433.0,-79.126762,-82.614143,2.6266
121,3,LOS,2102.0,47964.0,1587.0,-79.397056,-82.607643,2.570316
122,3,LOS,1874.0,48079.0,1526.0,-78.776214,-81.783988,2.551554
123,3,LOS,1783.0,47657.0,1469.0,-79.274841,-82.806747,2.570316
124,3,LOS,2133.0,47769.0,1946.0,-79.491027,-82.695854,2.551554
125,3,LOS,1978.0,47883.0,1441.0,-78.712631,-81.955268,2.551554
126,3,LOS,1852.0,47980.0,1521.0,-79.040275,-82.955535,2.6266
127,3,LOS,2054.0,48088.0,1969.0,-79.326126,-82.671585,2.6266
128,3,LOS,2003.0,47657.0,1653.0,-78.876533,-82.164375,2.532793
129,3,LOS,2119.0,47761.0,1496.0,-78.985733,-81.952751,2.570316
130,3,LOS,1971.0,47853.0,1447.0,-78.741226,-82.411094,2.607838
131,3,LOS,2050.0,47963.0,1590.0,-79.055671,-82.388183,2.551554
132,3,LOS,1955.0,48056.0,1505.0,-78.885002,-82.089134,2.570316
133,3,LOS,2069.0,47634.0,1794.0,-79.091072,-82.287872,2.589077
134,3,LOS,2100.0,47713.0,1525.0,-78.844932,-82.533729,2.570316
135,3,LOS,1994.0,47825.0,1436.0,-78.780342,-82.08403,2.551554
136,3,LOS,2022.0,47911.0,1398.0,-79.005287,-82.836319,2.607838
137,3,LOS,2032.0,48013.0,1602.0,-78.944725,-82.024055,2.589077
138,3,LOS,2132.0,48088.0,1501.0,-78.923301,-82.455169,2.6266
139,3,LOS,1908.0,47654.0,1435.0,-78.714668,-82.001525,2.551554
140,3,LOS,1951.0,47760.0,1531.0,-79.196754,-82.224906,2.570316
141,3,LOS,2058.0,47841.0,1624.0,-79.099967,-82.726745,2.589077
142,3,LOS,1785.0,47938.0,1467.0,-78.868087,-81.932052,2.551554
143,3,LOS,1931.0,48009.0,1611.0,-79.48616,-83.637123,2.607838
144,3,LOS,2083.0,48087.0,1534.0,-79.144714,-82.923507,2.589077
145,3,LOS,1980.0,47758.0,1525.0,-79.062286,-82.532997,2.551554
146,3,LOS,1966.0,47835.0,1380.0,-79.035888,-83.152107,2.645361
147,3,LOS,2061.0,47901.0,1628.0,-79.066703,-83.921379,2.551554
148,3,LOS,2128.0,47981.0,1802.0,-78.861755,-83.684982,2.6266
149,3,LOS,1959.0,48071.0,1379.0,-78.722824,-82.928657,2.570316
150,4,LOS,1804.0,47683.0,1553.0,-79.042472,-82.268585,2.551554
151,4,LOS,2086.0,47722.0,1715.0,-79.44017,-83.395515,2.607838
152,4,LOS,1833.0,47775.0,1640.0,-78.809394,-82.526779,2.589077
153,4,LOS,1890.0,47824.0,1618.0,-79.37091,-83.487854,2.570316
154,4,LOS,2044.0,47876.0,1538.0,-79.237922,-82.919281,2.589077
155,4,LOS,1829.0,47903.0,1552.0,-78.897727,-82.944679,2.570316
156,4,LOS,1990.0,47951.0,1688.0,-79.380401,-83.566375,2.570316
157,4,LOS,1877.0,48005.0,1713.0,-79.014007,-82.21788,2.551554
158,4,LOS,2011.0,48047.0,1626.0,-79.267898,-82.872139,2.6266
159,4,LOS,1925.0,48091.0,1636.0,-78.968414,-82.639755,2.570316
160,4,LOS,2031.0,48119.0,1790.0,-79.158233,-82.647758,2.570316
161,4,LOS,1966.0,47644.0,1695.0,-78.925437,-82.519798,2.589077
162,4,LOS,1912.0,47695.0,1572.0,-79.066703,-82.718597,2.570316
163,4,LOS,2027.0,47734.0,1626.0,-79.18766,-83.640022,2.589077
164,4,LOS,1900.0,47772.0,1807.0,-78.933998,-82.668579,2.570316
165,4,LOS,1985.0,47791.0,1626.0,-79.215003,-82.70726,2.6266
166,4,LOS,1935.0,47831.0,1725.0,-79.024932,-82.519706,2.589077
167,4,LOS,1943.0,47865.0,1719.0,-79.135726,-82.756523,2.589077
168,4,LOS,1900.0,47898.0,1411.0,-79.117813,-82.503608,2.6266
169,4,LOS,1925.0,47928.0,1630.0,-79.215003,-83.327667,2.607838
170,4,LOS,1866.0,47952.0,1632.0,-79.158233,-82.583244,2.6266
171,4,LOS,2050.0,47974.0,1892.0,-79.293418,-82.616798,2.607838
172,4,LOS,1928.0,48016.0,1717.0,-78.885002,-82.210678,2.589077
173,4,LOS,1980.0,48036.0,1726.0,-79.035888,-82.284347,2.645361
174,4,LOS,1948.0,48070.0,1626.0,-79.035888,-82.072906,2.570316
175,4,LOS,1992.0,48085.0,1879.0,-79.106651,-82.540206,2.589077
176,4,LOS,1904.0,48103.0,2069.0,-79.009643,-82.330825,2.607838
177,4,LOS,1926.0,47632.0,1720.0,-79.205871,-82.3479,2.532793
178,4,LOS,1992.0,47652.0,1974.0,-79.155975,-82.348899,2.607838
179,4,LOS,1932.0,47679.0,1717.0,-79.009643,-82.02893,2.589077
180,4,LOS,2033.0,47694.0,1626.0,-79.142471,-82.571449,2.589077
181,4,LOS,2002.0,47712.0,1959.0,-78.921165,-82.301864,2.607838
182,4,LOS,1873.0,47768.0,1723.0,-79.158233,-82.274421,2.607838
183,4,LOS,1859.0,47784.0,1802.0,-79.27716,-82.793029,2.607838
184,4,LOS,1810.0,47796.0,1622.0,-79.309745,-82.575843,2.589077
185,4,LOS,1820.0,47825.0,1735.0,-79.42575,-82.646629,2.551554
186,4,LOS,2064.0,47843.0,1887.0,-79.401824,-82.788078,2.645361
187,4,LOS,1872.0,47861.0,1645.0,-78.855438,-82.107116,2.589077
188,4,LOS,1984.0,47891.0,1719.0,-79.279479,-82.846672,2.589077
189,4,LOS,1865.0,47900.0,1728.0,-79.027122,-82.29692,2.6266
190,4,LOS,1953.0,47911.0,1856.0,-79.295753,-82.613639,2.589077
191,4,LOS,1971.0,47937.0,1510.0,-79.09552,-81.982131,2.570316
192,4,LOS,2028.0,47963.0,1696.0,-79.055671,-82.43283,2.6266
193,4,LOS,2026.0,47969.0,1712.0,-78.931861,-81.980804,2.570316
194,4,LOS,2022.0,47972.0,1876.0,-78.936141,-82.220436,2.589077
195,4,LOS,2048.0,47975.0,1807.0,-78.944725,-82.000526,2.551554
196,4,LOS,1930.0,47993.0,1710.0,-78.889236,-82.155914,2.570316
197,4,LOS,2034.0,48020.0,1700.0,-79.146965,-82.510482,2.607838
198,4,LOS,1896.0,48023.0,1644.0,-78.919029,-82.325294,2.589077
199,4,LOS,1878.0,48016.0,1711.0,-79.224151,-83.056617,2.589077
200,5,LOS,1998.0,47829.0,1436.0,-79.314422,-83.311653,2.589077
201,5,LOS,2024.0,47805.0,1496.0,-78.996582,-82.999626,2.589077
202,5,LOS,1946.0,47783.0,1564.0,-78.940437,-82.238883,2.607838
203,5,LOS,1896.0,47771.0,1793.0,-79.111106,-81.734138,2.570316
204,5,LOS,1993.0,47762.0,1524.0,-79.224151,-83.351249,2.645361
205,5,LOS,2023.0,47716.0,1599.0,-79.007469,-83.379302,2.607838
206,5,LOS,1987.0,47697.0,1542.0,-78.942581,-83.200279,2.551554
207,5,LOS,2046.0,47653.0,1531.0,-78.778274,-83.023796,2.6266
208,5,LOS,2033.0,47635.0,1619.0,-78.893486,-83.224891,2.570316
209,5,LOS,1983.0,48092.0,1617.0,-78.921165,-83.364807,2.6266
210,5,LOS,2031.0,48075.0,1617.0,-79.029312,-83.313217,2.589077
211,5,LOS,1881.0,48033.0,1460.0,-78.925437,-82.937866,2.6266
212,5,LOS,1950.0,48019.0,1526.0,-79.258651,-83.029525,2.551554
213,5,LOS,1946.0,47984.0,1621.0,-79.102195,-82.777145,2.607838
214,5,LOS,2104.0,47953.0,1615.0,-79.111106,-83.190612,2.589077
215,5,LOS,1993.0,47901.0,1593.0,-78.772079,-83.277511,2.645361
216,5,LOS,1962.0,47891.0,1611.0,-79.007469,-83.007225,2.589077
217,5,LOS,2040.0,47842.0,1797.0,-79.075546,-83.251472,2.645361
218,5,LOS,1916.0,47825.0,1631.0,-78.906234,-82.628646,2.607838
219,5,LOS,1828.0,47770.0,1493.0,-79.178581,-83.633567,2.645361
220,5,LOS,1845.0,47741.0,1554.0,-79.382774,-84.717803,2.607838
