acquisition,RX_level,RX_difference
30,-83.120742,15.450486
30,-83.120742,15.450486
30,-83.120742,15.450486
31,-83.120742,15.450486
31,-83.120742,15.450486
31,-82.89096,15.153916
31,-82.89096,15.153916
32,-82.89096,15.153916
32,-82.89096,15.153916
32,-83.015289,15.971413
32,-83.015289,15.971413
33,-83.015289,15.971413
33,-83.015289,15.971413
33,-83.015289,15.971413
33,-82.885635,15.026116
34,-82.885635,15.026116
34,-82.885635,15.026116
34,-82.885635,15.026116
34,-82.657554,15.251069
35,-82.657554,15.251069
35,-82.657554,15.251069
35,-82.657554,15.251069
35,-82.657554,15.251069
36,-82.811759,14.517426
36,-82.811759,14.517426
36,-82.811759,14.517426
36,-82.811759,14.517426
37,-82.508636,14.606186
37,-82.508636,14.606186
37,-82.508636,14.606186
37,-82.508636,14.606186
38,-82.508636,14.606186
38,-82.412124,15.293427
38,-82.412124,15.293427
38,-82.412124,15.293427
39,-82.412124,15.293427
39,-82.207054,15.675995
39,-82.207054,15.675995
39,-82.207054,15.675995
40,-82.207054,15.675995
40,-82.207054,15.675995
40,-82.028671,17.387687
40,-82.028671,17.387687
41,-82.028671,17.387687
41,-82.028671,17.387687
41,-81.460243,14.490921
41,-81.460243,14.490921
42,-81.460243,14.490921
42,-81.460243,14.490921
42,-81.460243,14.490921
42,-79.47158,13.489129
43,-79.47158,13.489129
43,-79.47158,13.489129
43,-79.47158,13.489129
43,-79.375656,14.597382
44,-79.375656,14.597382
44,-79.375656,14.597382
44,-79.375656,14.597382
44,-79.375656,14.597382
45,-79.44017,5.163918
45,-79.44017,5.163918
45,-79.44017,5.163918
45,-79.44017,5.163918
46,-79.827697,15.324563
46,-79.827697,15.324563
46,-79.827697,15.324563
46,-79.827697,15.324563
47,-79.827697,15.324563
47,-79.991302,12.935608
47,-79.991302,12.935608
47,-79.991302,12.935608
48,-79.991302,12.935608
48,-79.830329,14.989525
48,-79.830329,14.989525
48,-79.830329,14.989525
49,-79.830329,14.989525
49,-79.830329,14.989525
49,-79.880661,7.85788
49,-79.880661,7.85788
50,-79.880661,7.85788
50,-79.880661,7.85788
50,-79.309745,7.853287
50,-79.309745,7.853287
51,-79.309745,7.853287
51,-79.309745,7.853287
51,-79.309745,7.853287
51,-79.09774,8.468308
52,-79.09774,8.468308
52,-79.09774,8.468308
52,-79.09774,8.468308
52,-79.775375,8.146142
53,-79.775375,8.146142
53,-79.775375,8.146142
53,-79.775375,8.146142
53,-79.775375,8.146142
54,-79.349639,9.015831
54,-79.349639,9.015831
54,-79.349639,9.015831
54,-79.349639,9.015831
55,-79.985839,8.105935
55,-79.985839,8.105935
55,-79.985839,8.105935
55,-79.985839,8.105935
56,-79.985839,8.105935
56,-80.335281,9.348992
56,-80.335281,9.348992
56,-80.335281,9.348992
57,-80.335281,9.348992
57,-80.26194,10.022782
57,-80.26194,10.022782
57,-80.26194,10.022782
58,-80.26194,10.022782
58,-80.26194,10.022782
58,-80.513427,11.860871
58,-80.513427,11.860871
59,-80.513427,11.860871
59,-80.513427,11.860871
59,-80.846435,8.189057
59,-80.846435,8.189057
60,-80.846435,8.189057
60,-80.846435,8.189057
60,-80.846435,8.189057
60,-80.667152,8.95073
61,-80.667152,8.95073
61,-80.667152,8.95073
61,-80.667152,8.95073
61,-80.575515,6.517326
62,-80.575515,6.517326
62,-80.575515,6.517326
62,-80.575515,6.517326
62,-80.575515,6.517326
63,-80.644851,6.583351
63,-80.644851,6.583351
63,-80.644851,6.583351
63,-80.644851,6.583351
64,-80.504188,5.599228
64,-80.504188,5.599228
64,-80.504188,5.599228
64,-80.504188,5.599228
65,-80.504188,5.599228
65,-80.458297,5.729965
65,-80.458297,5.729965
65,-80.458297,5.729965
66,-80.458297,5.729965
66,-80.391853,5.888718
66,-80.391853,5.888718
66,-80.391853,5.888718
67,-80.391853,5.888718
67,-80.391853,5.888718
67,-80.138626,5.379723
67,-80.138626,5.379723
68,-80.138626,5.379723
68,-80.138626,5.379723
68,-80.17839,6.767601
68,-80.17839,6.767601
69,-80.17839,6.767601
69,-80.17839,6.767601
69,-80.17839,6.767601
69,-79.627098,7.592743
70,-79.627098,7.592743
70,-79.627098,7.592743
70,-79.627098,7.592743
70,-79.397056,15.100922
71,-79.397056,15.100922
71,-79.397056,15.100922
71,-79.397056,15.100922
71,-79.397056,15.100922
72,-79.798843,9.515152
72,-79.798843,9.515152
72,-79.798843,9.515152
72,-79.798843,9.515152
73,-79.051269,8.773263
73,-79.051269,8.773263
73,-79.051269,8.773263
73,-79.051269,8.773263
74,-79.051269,8.773263
74,-79.78318,17.374923
74,-79.78318,17.374923
74,-79.78318,17.374923
75,-79.78318,17.374923
75,-81.794784,22.748764
75,-81.794784,22.748764
75,-81.794784,22.748764
76,-81.794784,22.748764
76,-81.794784,22.748764
76,-83.417167,16.233497
76,-83.417167,16.233497
77,-83.417167,16.233497
77,-83.417167,16.233497
77,-85.136177,19.372207
77,-85.136177,19.372207
78,-85.136177,19.372207
78,-85.136177,19.372207
78,-85.136177,19.372207
78,-85.86412,14.838959
79,-85.86412,14.838959
79,-85.86412,14.838959
79,-85.86412,14.838959
79,-86.273818,13.798607
80,-86.273818,13.798607
80,-86.273818,13.798607
80,-86.273818,13.798607
80,-86.273818,13.798607
81,-87.562088,10.462685
81,-87.562088,10.462685
81,-87.562088,10.462685
81,-87.562088,10.462685
82,-86.488037,7.240189
82,-86.488037,7.240189
82,-86.488037,7.240189
82,-86.488037,7.240189
83,-86.488037,7.240189
83,-85.607673,7.597496
83,-85.607673,7.597496
83,-85.607673,7.597496
84,-85.607673,7.597496
84,-84.918327,8.367692
84,-84.918327,8.367692
84,-84.918327,8.367692
85,-84.918327,8.367692
85,-84.918327,8.367692
85,-84.543983,11.557488
85,-84.543983,11.557488
86,-84.543983,11.557488
86,-84.543983,11.557488
86,-84.986862,10.497689
86,-84.986862,10.497689
87,-84.986862,10.497689
87,-84.986862,10.497689
87,-84.986862,10.497689
87,-86.624351,7.211044
88,-86.624351,7.211044
88,-86.624351,7.211044
88,-86.624351,7.211044
88,-87.688903,7.053299
89,-87.688903,7.053299
89,-87.688903,7.053299
89,-87.688903,7.053299
89,-87.688903,7.053299
90,-88.461456,16.444831
90,-88.461456,16.444831
90,-88.461456,16.444831
90,-88.461456,16.444831
91,-86.181907,14.525986
91,-86.181907,14.525986
91,-86.181907,14.525986
91,-86.181907,14.525986
92,-86.181907,14.525986
92,-85.32801,6.028656
92,-85.32801,6.028656
92,-85.32801,6.028656
93,-85.32801,6.028656
93,-85.832534,5.771141
93,-85.832534,5.771141
93,-85.832534,5.771141
94,-85.832534,5.771141
94,-85.832534,5.771141
94,-86.910514,15.6801
94,-86.910514,15.6801
95,-86.910514,15.6801
95,-86.910514,15.6801
95,-87.274971,16.549659
95,-87.274971,16.549659
96,-87.274971,16.549659
96,-87.274971,16.549659
96,-87.274971,16.549659
96,-87.500045,14.119904
97,-87.500045,14.119904
97,-87.500045,14.119904
97,-87.500045,14.119904
97,-88.637939,12.478203
98,-88.637939,12.478203
98,-88.637939,12.478203
98,-88.637939,12.478203
98,-88.637939,12.478203
99,-89.827697,11.789139
99,-89.827697,11.789139
99,-89.827697,11.789139
99,-89.827697,11.789139
100,-90.071289,10.594452
100,-90.071289,10.594452
100,-90.071289,10.594452
100,-90.071289,10.594452
101,-90.071289,10.594452
101,-90.127334,10.825356
101,-90.127334,10.825356
101,-90.127334,10.825356
102,-90.127334,10.825356
102,-88.949028,11.620629
102,-88.949028,11.620629
102,-88.949028,11.620629
103,-88.949028,11.620629
103,-88.949028,11.620629
103,-89.330818,10.481034
103,-89.330818,10.481034
104,-89.330818,10.481034
104,-89.330818,10.481034
104,-90.764022,11.631875
104,-90.764022,11.631875
105,-90.764022,11.631875
105,-90.764022,11.631875
105,-90.764022,11.631875
105,-90.603744,12.437119
106,-90.603744,12.437119
106,-90.603744,12.437119
106,-90.603744,12.437119
106,-89.547409,11.076493
107,-89.547409,11.076493
107,-89.547409,11.076493
107,-89.547409,11.076493
107,-89.547409,11.076493
108,-90.479652,11.246521
108,-90.479652,11.246521
108,-90.479652,11.246521
108,-90.479652,11.246521
109,-90.667152,11.994294
109,-90.667152,11.994294
109,-90.667152,11.994294
109,-90.667152,11.994294
110,-90.667152,11.994294
110,-90.796798,12.123566
110,-90.796798,12.123566
110,-90.796798,12.123566
111,-90.796798,12.123566
111,-90.63533,11.465348
111,-90.63533,11.465348
111,-90.63533,11.465348
112,-90.63533,11.465348
112,-90.63533,11.465348
112,-90.667152,12.585305
112,-90.667152,12.585305
113,-90.667152,12.585305
113,-90.667152,12.585305
113,-90.796798,12.586632
113,-90.796798,12.586632
114,-90.796798,12.586632
114,-90.796798,12.586632
114,-90.796798,12.586632
114,-90.829826,11.995797
115,-90.829826,11.995797
115,-90.829826,11.995797
115,-90.829826,11.995797
115,-89.988571,13.361542
116,-89.988571,13.361542
116,-89.988571,13.361542
116,-89.988571,13.361542
116,-89.988571,13.361542
117,-91.068321,11.460938
117,-91.068321,11.460938
117,-91.068321,11.460938
117,-91.068321,11.460938
118,-89.880661,11.751
118,-89.880661,11.751
118,-89.880661,11.751
118,-89.880661,11.751
119,-89.880661,11.751
119,-90.896644,12.384552
119,-90.896644,12.384552
119,-90.896644,12.384552
120,-90.896644,12.384552
120,-91.357955,10.884003
120,-91.357955,10.884003
120,-91.357955,10.884003
