acquisition,RX_level,RX_difference
179,-79.219573,11.392823
179,-79.219573,11.392823
180,-79.233329,9.177262
180,-79.233329,9.177262
181,-79.233329,9.177262
181,-79.073333,8.546532
182,-79.073333,8.546532
182,-79.073333,8.546532
183,-78.942581,14.914139
183,-78.942581,14.914139
184,-78.942581,14.914139
184,-78.979232,15.29628
185,-78.979232,15.29628
185,-78.979232,15.29628
186,-79.117813,14.24878
186,-79.117813,14.24878
187,-79.117813,14.24878
187,-78.594131,13.0681
188,-78.594131,13.0681
188,-78.594131,13.0681
189,-79.567199,12.374619
189,-79.567199,12.374619
190,-79.567199,12.374619
190,-79.178581,10.708413
191,-79.178581,10.708413
191,-79.178581,10.708413
192,-79.305076,11.124459
192,-79.305076,11.124459
193,-79.305076,11.124459
193,-79.055671,9.544579
194,-79.055671,9.544579
194,-79.055671,9.544579
195,-79.344932,9.295952
195,-79.344932,9.295952
196,-79.344932,9.295952
196,-78.908363,15.055993
197,-78.908363,15.055993
197,-78.908363,15.055993
198,-78.851234,15.295434
198,-78.851234,15.295434
199,-78.851234,15.295434
199,-78.977066,15.142243
200,-78.977066,15.142243
200,-78.977066,15.142243
201,-79.221862,15.251267
201,-79.221862,15.251267
202,-79.221862,15.251267
202,-79.126762,15.885979
203,-79.126762,15.885979
203,-79.126762,15.885979
204,-79.224151,14.366997
204,-79.224151,14.366997
205,-79.224151,14.366997
205,-79.314422,13.006402
206,-79.314422,13.006402
206,-79.314422,13.006402
207,-79.302742,14.717469
207,-79.302742,14.717469
208,-79.302742,14.717469
208,-78.99224,14.807992
209,-78.99224,14.807992
209,-78.99224,14.807992
210,-79.068916,16.207649
210,-79.068916,16.207649
211,-79.068916,16.207649
211,-78.817733,13.416085
212,-78.817733,13.416085
212,-78.817733,13.416085
213,-78.834449,16.515747
213,-78.834449,16.515747
214,-78.834449,16.515747
214,-78.664039,17.586341
215,-78.664039,17.586341
215,-78.664039,17.586341
216,-78.706527,17.797615
216,-78.706527,17.797615
217,-78.706527,17.797615
217,-78.680175,11.369599
218,-78.680175,11.369599
218,-78.680175,11.369599
219,-78.893486,18.867523
219,-78.893486,18.867523
220,-78.893486,18.867523
220,-78.916893,8.796967
221,-78.916893,8.796967
221,-78.916893,8.796967
222,-78.961944,16.049369
222,-78.961944,16.049369
223,-78.961944,16.049369
223,-78.706527,16.560714
224,-78.706527,16.560714
224,-78.706527,16.560714
225,-79.189933,15.62288
225,-79.189933,15.62288
226,-79.189933,15.62288
226,-78.912628,17.324447
227,-78.912628,17.324447
227,-78.912628,17.324447
228,-78.893486,17.664855
228,-78.893486,17.664855
229,-78.893486,17.664855
229,-78.653984,11.530976
230,-78.653984,11.530976
230,-78.653984,11.530976
231,-79.176315,13.231408
231,-79.176315,13.231408
232,-79.176315,13.231408
232,-78.780342,16.570007
233,-78.780342,16.570007
233,-78.780342,16.570007
234,-79.04467,17.642433
234,-79.04467,17.642433
235,-79.04467,17.642433
235,-78.537056,11.941033
236,-78.537056,11.941033
236,-78.537056,11.941033
237,-78.957634,15.765023
237,-78.957634,15.765023
238,-78.957634,15.765023
238,-78.807312,17.620452
239,-78.807312,17.620452
239,-78.807312,17.620452
240,-78.936141,19.255989
240,-78.936141,19.255989
241,-78.936141,19.255989
241,-78.974899,11.190728
242,-78.974899,11.190728
242,-78.974899,11.190728
243,-78.682197,14.207245
243,-78.682197,14.207245
244,-78.682197,14.207245
244,-78.554687,2.614487
245,-78.554687,2.614487
245,-78.554687,2.614487
246,-78.938285,14.31749
246,-78.938285,14.31749
247,-78.938285,14.31749
247,-79.068916,15.359589
248,-79.068916,15.359589
248,-79.068916,15.359589
249,-78.961944,13.117592
249,-78.961944,13.117592
250,-78.961944,13.117592
250,-78.897727,11.247948
251,-78.897727,11.247948
251,-78.897727,11.247948
252,-79.176315,12.435441
252,-79.176315,12.435441
253,-79.176315,12.435441
253,-80.265266,18.004371
254,-80.265266,18.004371
254,-80.265266,18.004371
255,-78.927581,14.981034
255,-78.927581,14.981034
256,-78.927581,14.981034
256,-78.706527,15.637215
257,-78.706527,15.637215
257,-78.706527,15.637215
258,-78.629943,2.843834
258,-78.629943,2.843834
259,-78.629943,2.843834
259,-78.531188,16.084594
260,-78.531188,16.084594
260,-78.531188,16.084594
261,-78.643951,2.423332
261,-78.643951,2.423332
262,-78.643951,2.423332
262,-78.994407,3.158188
263,-78.994407,3.158188
263,-78.994407,3.158188
264,-78.961944,18.958503
264,-78.961944,18.958503
265,-78.961944,18.958503
265,-78.968414,2.653694
266,-78.968414,2.653694
266,-78.968414,2.653694
267,-79.165008,2.474388
267,-79.165008,2.474388
268,-79.165008,2.474388
268,-79.363815,3.199989
269,-79.363815,3.199989
269,-79.363815,3.199989
270,-79.153724,2.783974
270,-79.153724,2.783974
271,-79.153724,2.783974
271,-79.111106,1.913155
272,-79.111106,1.913155
272,-79.111106,1.913155
273,-78.981391,2.463097
273,-78.981391,2.463097
274,-78.981391,2.463097
274,-78.865974,2.392738
275,-78.865974,2.392738
275,-78.865974,2.392738
276,-79.053466,2.630745
276,-79.053466,2.630745
277,-79.053466,2.630745
277,-79.208152,2.295044
278,-79.208152,2.295044
278,-79.208152,2.295044
279,-79.210433,2.458725
279,-79.210433,2.458725
280,-79.210433,2.458725
280,-78.743278,3.563927
281,-78.743278,3.563927
281,-78.743278,3.563927
282,-79.115577,2.756432
282,-79.115577,2.756432
283,-79.115577,2.756432
283,-79.228736,5.068321
284,-79.228736,5.068321
284,-79.228736,5.068321
285,-79.205871,3.451424
285,-79.205871,3.451424
286,-79.205871,3.451424
286,-79.219573,2.834251
287,-79.219573,2.834251
287,-79.219573,2.834251
288,-78.751487,2.595901
288,-78.751487,2.595901
289,-78.751487,2.595901
289,-79.104423,2.468903
290,-79.104423,2.468903
290,-79.104423,2.468903
291,-79.169525,2.21917
291,-79.169525,2.21917
292,-79.169525,2.21917
292,-78.751487,2.772949
293,-78.751487,2.772949
293,-78.751487,2.772949
294,-78.970581,15.538735
294,-78.970581,15.538735
295,-78.970581,15.538735
295,-78.79692,3.033493
296,-78.79692,3.033493
296,-78.79692,3.033493
297,-78.870193,2.602013
297,-78.870193,2.602013
298,-78.870193,2.602013
298,-78.953323,2.620384
299,-78.953323,2.620384
299,-78.953323,2.620384
300,-78.554687,2.734909
300,-78.554687,2.734909
301,-78.554687,2.734909
301,-78.774147,2.606133
302,-78.774147,2.606133
302,-78.774147,2.606133
303,-78.554687,3.048065
303,-78.554687,3.048065
304,-78.554687,3.048065
304,-78.761772,2.549026
305,-78.761772,2.549026
305,-78.761772,2.549026
