activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL
72,2061.0,47969.0,1853.0,-78.672096,-80.870712
73,2061.0,47969.0,1853.0,-78.672096,-80.870712
73,2061.0,47969.0,1853.0,-78.672096,-80.870712
74,2061.0,47969.0,1853.0,-78.672096,-80.870712
74,2061.0,47969.0,1853.0,-78.672096,-80.870712
75,2061.0,47969.0,1853.0,-78.672096,-80.870712
75,2052.0,47899.0,1629.0,-78.861755,-81.282691
76,2052.0,47899.0,1629.0,-78.861755,-81.282691
76,2052.0,47899.0,1629.0,-78.861755,-81.282691
77,2052.0,47899.0,1629.0,-78.861755,-81.282691
77,2052.0,47899.0,1629.0,-78.861755,-81.282691
78,2052.0,47899.0,1629.0,-78.861755,-81.282691
78,2052.0,47899.0,1629.0,-78.861755,-81.282691
79,2052.0,47899.0,1629.0,-78.861755,-81.282691
79,2052.0,47899.0,1629.0,-78.861755,-81.282691
80,2052.0,47899.0,1629.0,-78.861755,-81.282691
80,2049.0,47770.0,1470.0,-78.880767,-80.921363
81,2049.0,47770.0,1470.0,-78.880767,-80.921363
81,2049.0,47770.0,1470.0,-78.880767,-80.921363
82,2049.0,47770.0,1470.0,-78.880767,-80.921363
82,2049.0,47770.0,1470.0,-78.880767,-80.921363
83,2049.0,47770.0,1470.0,-78.880767,-80.921363
83,2049.0,47770.0,1470.0,-78.880767,-80.921363
84,2049.0,47770.0,1470.0,-78.880767,-80.921363
84,2059.0,47643.0,1727.0,-78.887115,-81.199722
85,2059.0,47643.0,1727.0,-78.887115,-81.199722
85,2059.0,47643.0,1727.0,-78.887115,-81.199722
86,2059.0,47643.0,1727.0,-78.887115,-81.199722
86,2059.0,47643.0,1727.0,-78.887115,-81.199722
87,2059.0,47643.0,1727.0,-78.887115,-81.199722
87,2059.0,47643.0,1727.0,-78.887115,-81.199722
88,2059.0,47643.0,1727.0,-78.887115,-81.199722
88,2059.0,47643.0,1727.0,-78.887115,-81.199722
89,2059.0,47643.0,1727.0,-78.887115,-81.199722
89,2150.0,48091.0,1631.0,-78.865974,-80.985778
90,2150.0,48091.0,1631.0,-78.865974,-80.985778
90,2150.0,48091.0,1631.0,-78.865974,-80.985778
91,2150.0,48091.0,1631.0,-78.865974,-80.985778
91,2150.0,48091.0,1631.0,-78.865974,-80.985778
92,2150.0,48091.0,1631.0,-78.865974,-80.985778
92,2150.0,48091.0,1631.0,-78.865974,-80.985778
93,2150.0,48091.0,1631.0,-78.865974,-80.985778
93,2150.0,48091.0,1631.0,-78.865974,-80.985778
94,2141.0,48029.0,1631.0,-78.678154,-80.87445
94,2141.0,48029.0,1631.0,-78.678154,-80.87445
95,2141.0,48029.0,1631.0,-78.678154,-80.87445
95,2141.0,48029.0,1631.0,-78.678154,-80.87445
96,2141.0,48029.0,1631.0,-78.678154,-80.87445
96,2141.0,48029.0,1631.0,-78.678154,-80.87445
97,2141.0,48029.0,1631.0,-78.678154,-80.87445
97,2141.0,48029.0,1631.0,-78.678154,-80.87445
98,2141.0,48029.0,1631.0,-78.678154,-80.87445
98,2141.0,48029.0,1631.0,-78.678154,-80.87445
99,2078.0,47953.0,1643.0,-78.696373,-80.89508
99,2078.0,47953.0,1643.0,-78.696373,-80.89508
100,2078.0,47953.0,1643.0,-78.696373,-80.89508
100,2078.0,47953.0,1643.0,-78.696373,-80.89508
101,2078.0,47953.0,1643.0,-78.696373,-80.89508
101,2078.0,47953.0,1643.0,-78.696373,-80.89508
102,2078.0,47953.0,1643.0,-78.696373,-80.89508
102,2078.0,47953.0,1643.0,-78.696373,-80.89508
103,2078.0,47953.0,1643.0,-78.696373,-80.89508
103,1959.0,47829.0,1645.0,-78.82608,-81.300926
104,1959.0,47829.0,1645.0,-78.82608,-81.300926
104,1959.0,47829.0,1645.0,-78.82608,-81.300926
105,1959.0,47829.0,1645.0,-78.82608,-81.300926
105,1959.0,47829.0,1645.0,-78.82608,-81.300926
106,1959.0,47829.0,1645.0,-78.82608,-81.300926
106,1959.0,47829.0,1645.0,-78.82608,-81.300926
107,1959.0,47829.0,1645.0,-78.82608,-81.300926
107,1959.0,47829.0,1645.0,-78.82608,-81.300926
108,1959.0,47829.0,1645.0,-78.82608,-81.300926
108,1854.0,47700.0,1512.0,-79.082191,-81.366371
109,1854.0,47700.0,1512.0,-79.082191,-81.366371
109,1854.0,47700.0,1512.0,-79.082191,-81.366371
110,1854.0,47700.0,1512.0,-79.082191,-81.366371
110,1854.0,47700.0,1512.0,-79.082191,-81.366371
111,1854.0,47700.0,1512.0,-79.082191,-81.366371
111,1854.0,47700.0,1512.0,-79.082191,-81.366371
112,1854.0,47700.0,1512.0,-79.082191,-81.366371
112,1854.0,47700.0,1512.0,-79.082191,-81.366371
113,2024.0,47632.0,1841.0,-79.321441,-81.843719
113,2024.0,47632.0,1841.0,-79.321441,-81.843719
114,2024.0,47632.0,1841.0,-79.321441,-81.843719
114,2024.0,47632.0,1841.0,-79.321441,-81.843719
115,2024.0,47632.0,1841.0,-79.321441,-81.843719
115,2024.0,47632.0,1841.0,-79.321441,-81.843719
116,2024.0,47632.0,1841.0,-79.321441,-81.843719
116,2024.0,47632.0,1841.0,-79.321441,-81.843719
117,2024.0,47632.0,1841.0,-79.321441,-81.843719
117,2060.0,48086.0,1824.0,-78.940437,-81.476158
118,2060.0,48086.0,1824.0,-78.940437,-81.476158
