activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL
NLOS,1939.0,47714.0,1506.0,-78.570419,-82.319725
NLOS,1939.0,47714.0,1506.0,-78.570419,-82.319725
NLOS,1939.0,47714.0,1506.0,-78.570419,-82.319725
NLOS,1939.0,47714.0,1506.0,-78.570419,-82.319725
NLOS,1939.0,47714.0,1506.0,-78.570419,-82.319725
NLOS,1939.0,47714.0,1506.0,-78.570419,-82.319725
NLOS,1939.0,47714.0,1506.0,-78.570419,-82.319725
NLOS,2092.0,48023.0,1808.0,-79.126762,-82.391059
NLOS,2092.0,48023.0,1808.0,-79.126762,-82.391059
NLOS,2092.0,48023.0,1808.0,-79.126762,-82.391059
NLOS,2092.0,48023.0,1808.0,-79.126762,-82.391059
NLOS,2092.0,48023.0,1808.0,-79.126762,-82.391059
NLOS,2092.0,48023.0,1808.0,-79.126762,-82.391059
NLOS,2092.0,48023.0,1808.0,-79.126762,-82.391059
NLOS,2092.0,48023.0,1808.0,-79.126762,-82.391059
NLOS,2092.0,48023.0,1808.0,-79.126762,-82.391059
NLOS,1900.0,47810.0,1519.0,-78.79692,-83.168052
NLOS,1900.0,47810.0,1519.0,-78.79692,-83.168052
NLOS,1900.0,47810.0,1519.0,-78.79692,-83.168052
NLOS,1900.0,47810.0,1519.0,-78.79692,-83.168052
NLOS,1900.0,47810.0,1519.0,-78.79692,-83.168052
NLOS,1900.0,47810.0,1519.0,-78.79692,-83.168052
NLOS,1900.0,47810.0,1519.0,-78.79692,-83.168052
NLOS,1900.0,47810.0,1519.0,-78.79692,-83.168052
NLOS,1900.0,47810.0,1519.0,-78.79692,-83.168052
NLOS,1900.0,47810.0,1519.0,-78.79692,-83.168052
NLOS,2102.0,47617.0,1686.0,-79.215003,-83.280029
NLOS,2102.0,47617.0,1686.0,-79.215003,-83.280029
NLOS,2102.0,47617.0,1686.0,-79.215003,-83.280029
NLOS,2102.0,47617.0,1686.0,-79.215003,-83.280029
NLOS,2102.0,47617.0,1686.0,-79.215003,-83.280029
NLOS,2102.0,47617.0,1686.0,-79.215003,-83.280029
NLOS,2102.0,47617.0,1686.0,-79.215003,-83.280029
NLOS,2102.0,47617.0,1686.0,-79.215003,-83.280029
NLOS,2008.0,47930.0,1487.0,-78.776214,-82.909362
NLOS,2008.0,47930.0,1487.0,-78.776214,-82.909362
NLOS,2008.0,47930.0,1487.0,-78.776214,-82.909362
NLOS,2008.0,47930.0,1487.0,-78.776214,-82.909362
NLOS,2008.0,47930.0,1487.0,-78.776214,-82.909362
NLOS,2008.0,47930.0,1487.0,-78.776214,-82.909362
NLOS,2008.0,47930.0,1487.0,-78.776214,-82.909362
NLOS,2018.0,47745.0,1612.0,-78.974899,-82.024101
NLOS,2018.0,47745.0,1612.0,-78.974899,-82.024101
NLOS,2018.0,47745.0,1612.0,-78.974899,-82.024101
NLOS,2018.0,47745.0,1612.0,-78.974899,-82.024101
NLOS,2018.0,47745.0,1612.0,-78.974899,-82.024101
NLOS,2018.0,47745.0,1612.0,-78.974899,-82.024101
NLOS,2018.0,47745.0,1612.0,-78.974899,-82.024101
NLOS,2018.0,47745.0,1612.0,-78.974899,-82.024101
NLOS,2018.0,47745.0,1612.0,-78.974899,-82.024101
NLOS,2018.0,47745.0,1612.0,-78.974899,-82.024101
NLOS,1996.0,48043.0,1677.0,-78.953323,-83.159896
NLOS,1996.0,48043.0,1677.0,-78.953323,-83.159896
NLOS,1996.0,48043.0,1677.0,-78.953323,-83.159896
NLOS,1996.0,48043.0,1677.0,-78.953323,-83.159896
NLOS,1996.0,48043.0,1677.0,-78.953323,-83.159896
NLOS,1996.0,48043.0,1677.0,-78.953323,-83.159896
NLOS,1996.0,48043.0,1677.0,-78.953323,-83.159896
NLOS,1996.0,48043.0,1677.0,-78.953323,-83.159896
NLOS,1996.0,48043.0,1677.0,-78.953323,-83.159896
NLOS,2301.0,47842.0,1868.0,-79.00093,-82.043411
NLOS,2301.0,47842.0,1868.0,-79.00093,-82.043411
NLOS,2301.0,47842.0,1868.0,-79.00093,-82.043411
NLOS,2301.0,47842.0,1868.0,-79.00093,-82.043411
NLOS,2301.0,47842.0,1868.0,-79.00093,-82.043411
NLOS,2301.0,47842.0,1868.0,-79.00093,-82.043411
NLOS,2301.0,47842.0,1868.0,-79.00093,-82.043411
NLOS,2301.0,47842.0,1868.0,-79.00093,-82.043411
NLOS,2301.0,47842.0,1868.0,-79.00093,-82.043411
NLOS,2171.0,47647.0,1582.0,-78.383369,-82.261466
NLOS,2171.0,47647.0,1582.0,-78.383369,-82.261466
NLOS,2171.0,47647.0,1582.0,-78.383369,-82.261466
NLOS,2171.0,47647.0,1582.0,-78.383369,-82.261466
NLOS,2171.0,47647.0,1582.0,-78.383369,-82.261466
NLOS,2171.0,47647.0,1582.0,-78.383369,-82.261466
NLOS,2171.0,47647.0,1582.0,-78.383369,-82.261466
NLOS,2171.0,47647.0,1582.0,-78.383369,-82.261466
NLOS,1959.0,47965.0,1534.0,-78.63594,-81.942482
NLOS,1959.0,47965.0,1534.0,-78.63594,-81.942482
NLOS,1959.0,47965.0,1534.0,-78.63594,-81.942482
NLOS,1959.0,47965.0,1534.0,-78.63594,-81.942482
NLOS,1959.0,47965.0,1534.0,-78.63594,-81.942482
NLOS,1959.0,47965.0,1534.0,-78.63594,-81.942482
NLOS,1959.0,47965.0,1534.0,-78.63594,-81.942482
NLOS,1959.0,47965.0,1534.0,-78.63594,-81.942482
NLOS,1959.0,47965.0,1534.0,-78.63594,-81.942482
NLOS,2033.0,47769.0,1682.0,-79.082191,-84.404228
NLOS,2033.0,47769.0,1682.0,-79.082191,-84.404228
NLOS,2033.0,47769.0,1682.0,-79.082191,-84.404228
NLOS,2033.0,47769.0,1682.0,-79.082191,-84.404228
NLOS,2033.0,47769.0,1682.0,-79.082191,-84.404228
NLOS,2033.0,47769.0,1682.0,-79.082191,-84.404228
NLOS,2033.0,47769.0,1682.0,-79.082191,-84.404228
NLOS,2033.0,47769.0,1682.0,-79.082191,-84.404228
NLOS,2033.0,47769.0,1682.0,-79.082191,-84.404228
NLOS,2033.0,47769.0,1682.0,-79.082191,-84.404228
NLOS,1977.0,48083.0,1617.0,-78.921165,-82.937248
NLOS,1977.0,48083.0,1617.0,-78.921165,-82.937248
NLOS,1977.0,48083.0,1617.0,-78.921165,-82.937248
NLOS,1977.0,48083.0,1617.0,-78.921165,-82.937248
NLOS,1977.0,48083.0,1617.0,-78.921165,-82.937248
NLOS,1977.0,48083.0,1617.0,-78.921165,-82.937248
NLOS,1977.0,48083.0,1617.0,-78.921165,-82.937248
NLOS,1977.0,48083.0,1617.0,-78.921165,-82.937248
NLOS,1977.0,48083.0,1617.0,-78.921165,-82.937248
