acquisition,CIR,FirstPathPL,maxNoise,RX_level,FPPL
22,242.0,47564.0,419.0,-86.870361,-98.523185
22,242.0,47564.0,419.0,-86.870361,-98.523185
23,242.0,47564.0,419.0,-86.870361,-98.523185
23,320.0,47208.0,418.0,-88.164382,-99.522727
24,320.0,47208.0,418.0,-88.164382,-99.522727
24,320.0,47208.0,418.0,-88.164382,-99.522727
25,320.0,47208.0,418.0,-88.164382,-99.522727
25,320.0,47208.0,418.0,-88.164382,-99.522727
26,320.0,47208.0,418.0,-88.164382,-99.522727
26,320.0,47208.0,418.0,-88.164382,-99.522727
27,320.0,47208.0,418.0,-88.164382,-99.522727
27,241.0,47342.0,365.0,-86.951042,-97.707855
28,241.0,47342.0,365.0,-86.951042,-97.707855
28,241.0,47342.0,365.0,-86.951042,-97.707855
29,241.0,47342.0,365.0,-86.951042,-97.707855
29,241.0,47342.0,365.0,-86.951042,-97.707855
30,241.0,47342.0,365.0,-86.951042,-97.707855
30,241.0,47342.0,365.0,-86.951042,-97.707855
31,241.0,47342.0,365.0,-86.951042,-97.707855
31,241.0,47342.0,365.0,-86.951042,-97.707855
32,255.0,47213.0,361.0,-88.182365,-98.360595
32,255.0,47213.0,361.0,-88.182365,-98.360595
33,255.0,47213.0,361.0,-88.182365,-98.360595
33,255.0,47213.0,361.0,-88.182365,-98.360595
34,255.0,47213.0,361.0,-88.182365,-98.360595
34,255.0,47213.0,361.0,-88.182365,-98.360595
35,255.0,47213.0,361.0,-88.182365,-98.360595
35,255.0,47213.0,361.0,-88.182365,-98.360595
36,255.0,47213.0,361.0,-88.182365,-98.360595
36,260.0,46833.0,417.0,-87.937133,-106.048164
37,260.0,46833.0,417.0,-87.937133,-106.048164
37,260.0,46833.0,417.0,-87.937133,-106.048164
38,260.0,46833.0,417.0,-87.937133,-106.048164
38,260.0,46833.0,417.0,-87.937133,-106.048164
39,260.0,46833.0,417.0,-87.937133,-106.048164
39,260.0,46833.0,417.0,-87.937133,-106.048164
40,260.0,46833.0,417.0,-87.937133,-106.048164
40,260.0,46833.0,417.0,-87.937133,-106.048164
41,260.0,46833.0,417.0,-87.937133,-106.048164
41,228.0,46969.0,365.0,-87.852806,-103.65924
42,228.0,46969.0,365.0,-87.852806,-103.65924
42,228.0,46969.0,365.0,-87.852806,-103.65924
43,228.0,46969.0,365.0,-87.852806,-103.65924
43,228.0,46969.0,365.0,-87.852806,-103.65924
44,228.0,46969.0,365.0,-87.852806,-103.65924
44,228.0,46969.0,365.0,-87.852806,-103.65924
45,228.0,46969.0,365.0,-87.852806,-103.65924
45,228.0,46969.0,365.0,-87.852806,-103.65924
46,315.0,47655.0,419.0,-88.423187,-102.802276
46,315.0,47655.0,419.0,-88.423187,-102.802276
47,315.0,47655.0,419.0,-88.423187,-102.802276
47,315.0,47655.0,419.0,-88.423187,-102.802276
48,315.0,47655.0,419.0,-88.423187,-102.802276
48,315.0,47655.0,419.0,-88.423187,-102.802276
49,315.0,47655.0,419.0,-88.423187,-102.802276
49,315.0,47655.0,419.0,-88.423187,-102.802276
50,315.0,47655.0,419.0,-88.423187,-102.802276
50,315.0,47655.0,419.0,-88.423187,-102.802276
51,260.0,47273.0,415.0,-87.019432,-99.540626
51,260.0,47273.0,415.0,-87.019432,-99.540626
52,260.0,47273.0,415.0,-87.019432,-99.540626
52,260.0,47273.0,415.0,-87.019432,-99.540626
53,260.0,47273.0,415.0,-87.019432,-99.540626
53,260.0,47273.0,415.0,-87.019432,-99.540626
54,260.0,47273.0,415.0,-87.019432,-99.540626
54,260.0,47273.0,415.0,-87.019432,-99.540626
55,260.0,47273.0,415.0,-87.019432,-99.540626
55,252.0,46895.0,370.0,-87.852806,-99.66867
56,252.0,46895.0,370.0,-87.852806,-99.66867
56,252.0,46895.0,370.0,-87.852806,-99.66867
57,252.0,46895.0,370.0,-87.852806,-99.66867
57,252.0,46895.0,370.0,-87.852806,-99.66867
58,252.0,46895.0,370.0,-87.852806,-99.66867
58,252.0,46895.0,370.0,-87.852806,-99.66867
59,252.0,46895.0,370.0,-87.852806,-99.66867
59,252.0,46895.0,370.0,-87.852806,-99.66867
60,323.0,47593.0,366.0,-87.988533,-99.68045
60,323.0,47593.0,366.0,-87.988533,-99.68045
61,323.0,47593.0,366.0,-87.988533,-99.68045
61,323.0,47593.0,366.0,-87.988533,-99.68045
62,323.0,47593.0,366.0,-87.988533,-99.68045
62,323.0,47593.0,366.0,-87.988533,-99.68045
63,323.0,47593.0,366.0,-87.988533,-99.68045
63,323.0,47593.0,366.0,-87.988533,-99.68045
64,323.0,47593.0,366.0,-87.988533,-99.68045
