acquisition,CIR,FirstPathPL,maxNoise,RX_level,FPPL
21,2044.0,48088.0,1848.0,-78.897727,-81.627532
21,2044.0,48088.0,1848.0,-78.897727,-81.627532
22,2044.0,48088.0,1848.0,-78.897727,-81.627532
22,2044.0,48088.0,1848.0,-78.897727,-81.627532
23,2044.0,48088.0,1848.0,-78.897727,-81.627532
23,1932.0,48075.0,1675.0,-78.897727,-80.609741
24,1932.0,48075.0,1675.0,-78.897727,-80.609741
24,1932.0,48075.0,1675.0,-78.897727,-80.609741
25,1932.0,48075.0,1675.0,-78.897727,-80.609741
25,1932.0,48075.0,1675.0,-78.897727,-80.609741
26,1932.0,48075.0,1675.0,-78.897727,-80.609741
26,1932.0,48075.0,1675.0,-78.897727,-80.609741
27,1932.0,48075.0,1675.0,-78.897727,-80.609741
27,1932.0,48075.0,1675.0,-78.897727,-80.609741
28,2109.0,48074.0,1117.0,-79.142471,-81.805656
28,2109.0,48074.0,1117.0,-79.142471,-81.805656
29,2109.0,48074.0,1117.0,-79.142471,-81.805656
29,2109.0,48074.0,1117.0,-79.142471,-81.805656
30,2109.0,48074.0,1117.0,-79.142471,-81.805656
30,2109.0,48074.0,1117.0,-79.142471,-81.805656
31,2109.0,48074.0,1117.0,-79.142471,-81.805656
31,2109.0,48074.0,1117.0,-79.142471,-81.805656
32,2109.0,48074.0,1117.0,-79.142471,-81.805656
32,2089.0,48030.0,1457.0,-78.761772,-81.090538
33,2089.0,48030.0,1457.0,-78.761772,-81.090538
33,2089.0,48030.0,1457.0,-78.761772,-81.090538
34,2089.0,48030.0,1457.0,-78.761772,-81.090538
34,2089.0,48030.0,1457.0,-78.761772,-81.090538
35,2089.0,48030.0,1457.0,-78.761772,-81.090538
35,2089.0,48030.0,1457.0,-78.761772,-81.090538
36,2089.0,48030.0,1457.0,-78.761772,-81.090538
36,2089.0,48030.0,1457.0,-78.761772,-81.090538
37,2015.0,48032.0,2222.0,-78.803154,-81.187133
37,2015.0,48032.0,2222.0,-78.803154,-81.187133
38,2015.0,48032.0,2222.0,-78.803154,-81.187133
38,2015.0,48032.0,2222.0,-78.803154,-81.187133
39,2015.0,48032.0,2222.0,-78.803154,-81.187133
39,2015.0,48032.0,2222.0,-78.803154,-81.187133
