acquisition,RX_level,RX_difference,F2_std_noise,std_noise
79,-78.548805,2.616837,7.677000239999999,56.0
80,-78.548805,2.616837,7.677000239999999,56.0
80,-78.548805,2.616837,7.677000239999999,56.0
80,-78.548805,2.616837,7.677000239999999,56.0
80,-78.548805,2.616837,7.677000239999999,56.0
81,-78.645957,2.699768,7.461000599999999,60.0
81,-78.645957,2.699768,7.461000599999999,60.0
81,-78.645957,2.699768,7.461000599999999,60.0
81,-78.645957,2.699768,7.461000599999999,60.0
82,-78.465301,2.580002,7.68100032,56.0
82,-78.465301,2.580002,7.68100032,56.0
82,-78.465301,2.580002,7.68100032,56.0
82,-78.465301,2.580002,7.68100032,56.0
83,-78.465301,2.580002,7.68100032,56.0
83,-78.375831,2.628151,7.7320002,60.0
83,-78.375831,2.628151,7.7320002,60.0
83,-78.375831,2.628151,7.7320002,60.0
84,-78.375831,2.628151,7.7320002,60.0
84,-79.046867,2.495293,7.22900048,52.0
84,-79.046867,2.495293,7.22900048,52.0
84,-79.046867,2.495293,7.22900048,52.0
85,-79.046867,2.495293,7.22900048,52.0
85,-79.046867,2.495293,7.22900048,52.0
85,-78.562545,2.796692,7.68000012,52.0
85,-78.562545,2.796692,7.68000012,52.0
86,-78.562545,2.796692,7.68000012,52.0
86,-78.562545,2.796692,7.68000012,52.0
86,-78.398498,2.751129,7.750999679999999,48.0
86,-78.398498,2.751129,7.750999679999999,48.0
87,-78.398498,2.751129,7.750999679999999,48.0
87,-78.398498,2.751129,7.750999679999999,48.0
87,-78.398498,2.751129,7.750999679999999,48.0
87,-78.79692,2.522301,7.40800032,48.0
88,-78.79692,2.522301,7.40800032,48.0
88,-78.79692,2.522301,7.40800032,48.0
88,-78.79692,2.522301,7.40800032,48.0
88,-78.334571,2.716644,7.726,64.0
89,-78.334571,2.716644,7.726,64.0
89,-78.334571,2.716644,7.726,64.0
89,-78.334571,2.716644,7.726,64.0
89,-78.334571,2.716644,7.726,64.0
90,-78.627944,2.745079,7.41400016,56.0
90,-78.627944,2.745079,7.41400016,56.0
90,-78.627944,2.745079,7.41400016,56.0
90,-78.627944,2.745079,7.41400016,56.0
91,-78.539009,3.09626,7.462,56.0
91,-78.539009,3.09626,7.462,56.0
91,-78.539009,3.09626,7.462,56.0
91,-78.539009,3.09626,7.462,56.0
92,-78.539009,3.09626,7.462,56.0
92,-78.694343,2.345467,7.5920004,60.0
92,-78.694343,2.345467,7.5920004,60.0
92,-78.694343,2.345467,7.5920004,60.0
93,-78.694343,2.345467,7.5920004,60.0
93,-78.531188,2.444824,7.6510008,60.0
93,-78.531188,2.444824,7.6510008,60.0
93,-78.531188,2.444824,7.6510008,60.0
94,-78.531188,2.444824,7.6510008,60.0
94,-78.531188,2.444824,7.6510008,60.0
94,-78.876533,2.798553,7.23200016,56.0
94,-78.876533,2.798553,7.23200016,56.0
95,-78.876533,2.798553,7.23200016,56.0
95,-78.876533,2.798553,7.23200016,56.0
95,-78.611999,2.522491,7.70000036,52.0
95,-78.611999,2.522491,7.70000036,52.0
96,-78.611999,2.522491,7.70000036,52.0
96,-78.611999,2.522491,7.70000036,52.0
96,-78.611999,2.522491,7.70000036,52.0
96,-78.273422,2.642632,7.8130002,60.0
97,-78.273422,2.642632,7.8130002,60.0
97,-78.273422,2.642632,7.8130002,60.0
97,-78.273422,2.642632,7.8130002,60.0
97,-78.823997,3.069252,7.056,64.0
98,-78.823997,3.069252,7.056,64.0
98,-78.823997,3.069252,7.056,64.0
98,-78.823997,3.069252,7.056,64.0
98,-78.823997,3.069252,7.056,64.0
99,-78.362663,2.684502,7.6560006000000005,60.0
99,-78.362663,2.684502,7.6560006000000005,60.0
99,-78.362663,2.684502,7.6560006000000005,60.0
99,-78.362663,2.684502,7.6560006000000005,60.0
100,-78.594131,2.444305,7.76399952,48.0
100,-78.594131,2.444305,7.76399952,48.0
100,-78.594131,2.444305,7.76399952,48.0
100,-78.594131,2.444305,7.76399952,48.0
101,-78.594131,2.444305,7.76399952,48.0
101,-78.517539,2.684113,7.57100016,48.0
101,-78.517539,2.684113,7.57100016,48.0
101,-78.517539,2.684113,7.57100016,48.0
102,-78.517539,2.684113,7.57100016,48.0
102,-78.737129,2.791328,7.26100032,48.0
102,-78.737129,2.791328,7.26100032,48.0
102,-78.737129,2.791328,7.26100032,48.0
103,-78.737129,2.791328,7.26100032,48.0
103,-78.737129,2.791328,7.26100032,48.0
103,-78.592155,2.575874,7.701,48.0
103,-78.592155,2.575874,7.701,48.0
104,-78.592155,2.575874,7.701,48.0
104,-78.592155,2.575874,7.701,48.0
104,-78.959785,2.851784,7.371,60.0
104,-78.959785,2.851784,7.371,60.0
105,-78.959785,2.851784,7.371,60.0
105,-78.959785,2.851784,7.371,60.0
105,-78.959785,2.851784,7.371,60.0
105,-78.482643,2.940262,7.714,56.0
106,-78.482643,2.940262,7.714,56.0
106,-78.482643,2.940262,7.714,56.0
106,-78.482643,2.940262,7.714,56.0
106,-78.774147,2.44503,7.5770000799999995,52.0
107,-78.774147,2.44503,7.5770000799999995,52.0
107,-78.774147,2.44503,7.5770000799999995,52.0
107,-78.774147,2.44503,7.5770000799999995,52.0
107,-78.774147,2.44503,7.5770000799999995,52.0
108,-78.724861,2.761528,7.3210002,60.0
108,-78.724861,2.761528,7.3210002,60.0
108,-78.724861,2.761528,7.3210002,60.0
108,-78.724861,2.761528,7.3210002,60.0
109,-78.586212,2.671822,7.72200064,64.0
109,-78.586212,2.671822,7.72200064,64.0
109,-78.586212,2.671822,7.72200064,64.0
109,-78.586212,2.671822,7.72200064,64.0
110,-78.586212,2.671822,7.72200064,64.0
110,-78.662025,2.838547,7.3540008,60.0
110,-78.662025,2.838547,7.3540008,60.0
110,-78.662025,2.838547,7.3540008,60.0
111,-78.662025,2.838547,7.3540008,60.0
111,-78.428909,2.687729,7.666000159999999,52.0
111,-78.428909,2.687729,7.666000159999999,52.0
111,-78.428909,2.687729,7.666000159999999,52.0
112,-78.428909,2.687729,7.666000159999999,52.0
112,-78.428909,2.687729,7.666000159999999,52.0
112,-78.65599,2.590454,7.4850006,60.0
112,-78.65599,2.590454,7.4850006,60.0
113,-78.65599,2.590454,7.4850006,60.0
113,-78.65599,2.590454,7.4850006,60.0
113,-78.87442,2.819489,7.222000239999999,56.0
113,-78.87442,2.819489,7.222000239999999,56.0
114,-78.87442,2.819489,7.222000239999999,56.0
114,-78.87442,2.819489,7.222000239999999,56.0
114,-78.87442,2.819489,7.222000239999999,56.0
114,-78.40039,2.609962,7.71300032,64.0
115,-78.40039,2.609962,7.71300032,64.0
115,-78.40039,2.609962,7.71300032,64.0
115,-78.40039,2.609962,7.71300032,64.0
115,-78.576339,2.92849,7.568999880000001,52.0
116,-78.576339,2.92849,7.568999880000001,52.0
116,-78.576339,2.92849,7.568999880000001,52.0
116,-78.576339,2.92849,7.568999880000001,52.0
116,-78.576339,2.92849,7.568999880000001,52.0
117,-78.834449,3.624283,7.12300008,56.0
117,-78.834449,3.624283,7.12300008,56.0
117,-78.834449,3.624283,7.12300008,56.0
117,-78.834449,3.624283,7.12300008,56.0
118,-78.749435,2.444794,7.6400004,60.0
118,-78.749435,2.444794,7.6400004,60.0
118,-78.749435,2.444794,7.6400004,60.0
118,-78.749435,2.444794,7.6400004,60.0
119,-78.749435,2.444794,7.6400004,60.0
119,-79.117813,2.492363,7.2040003200000005,48.0
119,-79.117813,2.492363,7.2040003200000005,48.0
119,-79.117813,2.492363,7.2040003200000005,48.0
120,-79.117813,2.492363,7.2040003200000005,48.0
120,-78.492309,2.458023,7.617,60.0
120,-78.492309,2.458023,7.617,60.0
120,-78.492309,2.458023,7.617,60.0
121,-78.492309,2.458023,7.617,60.0
121,-78.492309,2.458023,7.617,60.0
121,-78.550766,2.415092,7.7520004799999995,56.0
121,-78.550766,2.415092,7.7520004799999995,56.0
122,-78.550766,2.415092,7.7520004799999995,56.0
122,-78.550766,2.415092,7.7520004799999995,56.0
122,-78.759712,2.589943,7.44100056,56.0
122,-78.759712,2.589943,7.44100056,56.0
123,-78.759712,2.589943,7.44100056,56.0
123,-78.759712,2.589943,7.44100056,56.0
123,-78.759712,2.589943,7.44100056,56.0
123,-78.698402,3.003593,7.4100000800000005,56.0
124,-78.698402,3.003593,7.4100000800000005,56.0
124,-78.698402,3.003593,7.4100000800000005,56.0
124,-78.698402,3.003593,7.4100000800000005,56.0
124,-78.749435,2.892784,7.2280008,60.0
125,-78.749435,2.892784,7.2280008,60.0
125,-78.749435,2.892784,7.2280008,60.0
125,-78.749435,2.892784,7.2280008,60.0
125,-78.749435,2.892784,7.2280008,60.0
126,-78.807312,2.681107,7.3630004,56.0
126,-78.807312,2.681107,7.3630004,56.0
126,-78.807312,2.681107,7.3630004,56.0
126,-78.807312,2.681107,7.3630004,56.0
127,-78.442283,2.549461,7.6840002,60.0
127,-78.442283,2.549461,7.6840002,60.0
127,-78.442283,2.549461,7.6840002,60.0
