CIR,CIR,CIR,CIR,FirstPathPL,FirstPathPL,FirstPathPL,FirstPathPL,maxNoise,maxNoise,maxNoise,maxNoise,RX_level,RX_level,RX_level,RX_level,FPPL,FPPL,FPPL,FPPL
2172.0,2172.0,2172.0,2172.0,47782.0,47782.0,47782.0,47782.0,1786.0,1786.0,1786.0,1786.0,-78.394714,-78.394714,-78.394714,-78.394714,-82.13179,-82.13179,-82.13179,-82.13179
2172.0,2172.0,2172.0,1970.0,47782.0,47782.0,47782.0,48085.0,1786.0,1786.0,1786.0,1782.0,-78.394714,-78.394714,-78.394714,-78.633941,-82.13179,-82.13179,-82.13179,-82.208992
1970.0,1970.0,1970.0,1970.0,48085.0,48085.0,48085.0,48085.0,1782.0,1782.0,1782.0,1782.0,-78.633941,-78.633941,-78.633941,-78.633941,-82.208992,-82.208992,-82.208992,-82.208992
1970.0,1970.0,1970.0,1970.0,48085.0,48085.0,48085.0,48085.0,1782.0,1782.0,1782.0,1782.0,-78.633941,-78.633941,-78.633941,-78.633941,-82.208992,-82.208992,-82.208992,-82.208992
2231.0,2231.0,2231.0,2231.0,47884.0,47884.0,47884.0,47884.0,1538.0,1538.0,1538.0,1538.0,-79.057876,-79.057876,-79.057876,-79.057876,-83.158248,-83.158248,-83.158248,-83.158248
2231.0,2231.0,2231.0,2231.0,47884.0,47884.0,47884.0,47884.0,1538.0,1538.0,1538.0,1538.0,-79.057876,-79.057876,-79.057876,-79.057876,-83.158248,-83.158248,-83.158248,-83.158248
2231.0,1939.0,1939.0,1939.0,47884.0,47691.0,47691.0,47691.0,1538.0,1548.0,1548.0,1548.0,-79.057876,-78.517539,-78.517539,-78.517539,-83.158248,-82.748054,-82.748054,-82.748054
1939.0,1939.0,1939.0,1939.0,47691.0,47691.0,47691.0,47691.0,1548.0,1548.0,1548.0,1548.0,-78.517539,-78.517539,-78.517539,-78.517539,-82.748054,-82.748054,-82.748054,-82.748054
1939.0,1939.0,1919.0,1919.0,47691.0,47691.0,47991.0,47991.0,1548.0,1548.0,1712.0,1712.0,-78.517539,-78.517539,-79.126762,-79.126762,-82.748054,-82.748054,-83.720291,-83.720291
1919.0,1919.0,1919.0,1919.0,47991.0,47991.0,47991.0,47991.0,1712.0,1712.0,1712.0,1712.0,-79.126762,-79.126762,-79.126762,-79.126762,-83.720291,-83.720291,-83.720291,-83.720291
1919.0,1919.0,1919.0,1900.0,47991.0,47991.0,47991.0,47776.0,1712.0,1712.0,1712.0,1529.0,-79.126762,-79.126762,-79.126762,-79.171791,-83.720291,-83.720291,-83.720291,-82.943298
1900.0,1900.0,1900.0,1900.0,47776.0,47776.0,47776.0,47776.0,1529.0,1529.0,1529.0,1529.0,-79.171791,-79.171791,-79.171791,-79.171791,-82.943298,-82.943298,-82.943298,-82.943298
1900.0,1900.0,1900.0,1900.0,47776.0,47776.0,47776.0,47776.0,1529.0,1529.0,1529.0,1529.0,-79.171791,-79.171791,-79.171791,-79.171791,-82.943298,-82.943298,-82.943298,-82.943298
1920.0,1920.0,1920.0,1920.0,48087.0,48087.0,48087.0,48087.0,1720.0,1720.0,1720.0,1720.0,-79.215003,-79.215003,-79.215003,-79.215003,-82.953506,-82.953506,-82.953506,-82.953506
1920.0,1920.0,1920.0,1920.0,48087.0,48087.0,48087.0,48087.0,1720.0,1720.0,1720.0,1720.0,-79.215003,-79.215003,-79.215003,-79.215003,-82.953506,-82.953506,-82.953506,-82.953506
1824.0,1824.0,1824.0,1824.0,47891.0,47891.0,47891.0,47891.0,1634.0,1634.0,1634.0,1634.0,-79.169525,-79.169525,-79.169525,-79.169525,-83.596176,-83.596176,-83.596176,-83.596176
1824.0,1824.0,1824.0,1824.0,47891.0,47891.0,47891.0,47891.0,1634.0,1634.0,1634.0,1634.0,-79.169525,-79.169525,-79.169525,-79.169525,-83.596176,-83.596176,-83.596176,-83.596176
