acquisition,RX_level,RX_difference,F2_std_noise,std_noise
26,-76.700538,4.199707,6.171774,124.0
26,-76.700538,4.199707,6.171774,124.0
26,-76.700538,4.199707,6.171774,124.0
26,-76.700538,4.199707,6.171774,124.0
27,-76.700538,4.199707,6.171774,124.0
27,-76.955108,4.996796,5.440909,132.0
27,-76.955108,4.996796,5.440909,132.0
27,-76.955108,4.996796,5.440909,132.0
28,-76.955108,4.996796,5.440909,132.0
28,-77.186676,3.868896,5.860938,128.0
28,-77.186676,3.868896,5.860938,128.0
28,-77.186676,3.868896,5.860938,128.0
29,-77.186676,3.868896,5.860938,128.0
29,-77.186676,3.868896,5.860938,128.0
29,-76.926681,4.409225,5.850806,124.0
29,-76.926681,4.409225,5.850806,124.0
30,-76.926681,4.409225,5.850806,124.0
30,-76.926681,4.409225,5.850806,124.0
30,-77.461715,3.898727,5.862903,124.0
30,-77.461715,3.898727,5.862903,124.0
31,-77.461715,3.898727,5.862903,124.0
31,-77.461715,3.898727,5.862903,124.0
31,-77.461715,3.898727,5.862903,124.0
31,-77.108581,4.888908,5.702344,128.0
32,-77.108581,4.888908,5.702344,128.0
32,-77.108581,4.888908,5.702344,128.0
32,-77.108581,4.888908,5.702344,128.0
32,-76.946968,4.095314,6.044355,124.0
33,-76.946968,4.095314,6.044355,124.0
33,-76.946968,4.095314,6.044355,124.0
33,-76.946968,4.095314,6.044355,124.0
33,-76.946968,4.095314,6.044355,124.0
34,-76.806884,4.676216,5.476515,132.0
34,-76.806884,4.676216,5.476515,132.0
34,-76.806884,4.676216,5.476515,132.0
34,-76.806884,4.676216,5.476515,132.0
35,-77.093124,4.785812,6.099167,120.0
35,-77.093124,4.785812,6.099167,120.0
35,-77.093124,4.785812,6.099167,120.0
35,-77.093124,4.785812,6.099167,120.0
36,-77.093124,4.785812,6.099167,120.0
36,-76.736564,4.228531,5.970313,128.0
36,-76.736564,4.228531,5.970313,128.0
36,-76.736564,4.228531,5.970313,128.0
37,-76.736564,4.228531,5.970313,128.0
37,-77.481605,3.784988,6.130833,120.0
37,-77.481605,3.784988,6.130833,120.0
37,-77.481605,3.784988,6.130833,120.0
38,-77.481605,3.784988,6.130833,120.0
38,-77.481605,3.784988,6.130833,120.0
38,-76.85839,4.532425,5.660156,128.0
38,-76.85839,4.532425,5.660156,128.0
39,-76.85839,4.532425,5.660156,128.0
39,-76.85839,4.532425,5.660156,128.0
39,-77.16381,4.868439,5.808064,124.0
39,-77.16381,4.868439,5.808064,124.0
40,-77.16381,4.868439,5.808064,124.0
40,-77.16381,4.868439,5.808064,124.0
40,-77.16381,4.868439,5.808064,124.0
40,-77.292556,4.000092,5.333088,136.0
